seed,tag,layer,relation,align_before,align_after,align_delta,acc_eng,acc_fr_unaligned,acc_fr_aligned,acc_fr_upper,m_fr_unal,m_fr_al,m_fr_star,cos_raw_weng_wfrstar,cos_wfrhat_wfrstar,r,n_train,n_test,shuffle_train_pairs,condition,acc_gain_fr,margin_gain_fr,cos_gain
0,base,0,__all__,0.6121045351028442,0.6850950121879578,0.07299047708511353,0.55,0.525,0.525,0.6,-0.0034903078339993954,-0.000638914352748543,0.016697855666279793,0.1199108213186264,0.36657479405403137,256,160,40,False,base,0.0,0.0028513934812508523,0.24666397273540497
0,base,0,atomic_number,0.6893302202224731,0.7871922254562378,0.09786200523376465,0.55,0.3,0.2,0.4,-0.003557660849764943,-0.0034358836710453033,0.007048508618026972,0.1199108213186264,0.36657479405403137,256,160,10,False,base,-0.09999999999999998,0.00012177717871963978,0.24666397273540497
0,base,0,birthplace,0.37935206294059753,0.4766644835472107,0.09731242060661316,0.55,0.9,1.0,1.0,0.0024131115060299635,0.012839989736676216,0.037923842668533325,0.1199108213186264,0.36657479405403137,256,160,10,False,base,0.09999999999999998,0.010426878230646253,0.24666397273540497
0,base,0,capital,0.8171383738517761,0.8835489153862,0.06641054153442383,0.55,0.3,0.3,0.6,-0.011815425008535385,-0.011307740584015846,0.021973583847284317,0.1199108213186264,0.36657479405403137,256,160,10,False,base,0.0,0.0005076844245195389,0.24666397273540497
0,base,0,director,0.5625973343849182,0.5929746031761169,0.03037726879119873,0.55,0.6,0.6,0.4,-0.001001256867311895,-0.0006520211463794112,-0.00015451619401574135,0.1199108213186264,0.36657479405403137,256,160,10,False,base,0.0,0.0003492357209324837,0.24666397273540497
0,base,1,__all__,0.6503533124923706,0.6510572576146543,0.0007039451222836668,0.5,0.25,0.25,0.775,-0.6832179427146912,-0.682902555004858,0.686386227607727,-0.9929227232933044,-0.9919519225930507,256,160,40,False,base,0.0,0.00031538770983319253,0.0009708007002537933
0,base,1,atomic_number,0.7969905734062195,0.7978064189792592,0.0008158455730397085,0.5,0.1,0.1,0.9,-0.39873388409614563,-0.3987223983773882,0.40019553899765015,-0.9929227232933044,-0.9919519225930507,256,160,10,False,base,0.0,1.1485718757420216e-05,0.0009708007002537933
0,base,1,birthplace,0.2967291474342346,0.29809627775420056,0.0013671303199659368,0.5,0.1,0.1,1.0,-1.0922071933746338,-1.0910602950642605,1.0993082523345947,-0.9929227232933044,-0.9919519225930507,256,160,10,False,base,0.0,0.00114689831037329,0.0009708007002537933
0,base,1,capital,0.9967608451843262,0.9971098205152795,0.00034897533095334943,0.5,0.2,0.2,0.8,-1.2285550832748413,-1.2285035060965168,1.232848882675171,-0.9929227232933044,-0.9919519225930507,256,160,10,False,base,0.0,5.157717832449116e-05,0.0009708007002537933
0,base,1,director,0.5109328031539917,0.5112165132098777,0.0002837100558860106,0.5,0.6,0.6,0.4,-0.013376092538237572,-0.013324020481267374,0.013192701153457165,-0.9929227232933044,-0.9919519225930507,256,160,10,False,base,0.0,5.2072056970197886e-05,0.0009708007002537933
0,base,2,__all__,0.6495309472084045,0.6508340446149614,0.0013030974065568746,0.625,0.375,0.4,0.6,-0.6740331649780273,-0.6733911722173491,0.6815805435180664,-0.9830456972122192,-0.981227445392477,256,160,40,False,base,0.025000000000000022,0.0006419927606782228,0.001818251819742267
0,base,2,atomic_number,0.7945314049720764,0.7960653294821688,0.001533924510092377,0.625,0.3,0.4,0.5,-0.39413875341415405,-0.39405576658524033,0.39747899770736694,-0.9830456972122192,-0.981227445392477,256,160,10,False,base,0.10000000000000003,8.298682891372255e-05,0.001818251819742267
0,base,2,birthplace,0.2942257523536682,0.2965795152222827,0.002353762868614495,0.625,0.1,0.1,1.0,-1.0813490152359009,-1.0793083327331074,1.0990684032440186,-0.9830456972122192,-0.981227445392477,256,160,10,False,base,0.0,0.002040682502793434,0.001818251819742267
0,base,2,capital,0.9918916821479797,0.9926790342421177,0.0007873520941379386,0.625,0.5,0.5,0.5,-1.2109432220458984,-1.2105711597813686,1.2204811573028564,-0.9830456972122192,-0.981227445392477,256,160,10,False,base,0.0,0.0003720622645297933,0.001818251819742267
0,base,2,director,0.5174745917320251,0.5180122995132768,0.0005377077812516173,0.625,0.6,0.6,0.4,-0.009701812639832497,-0.00962942976967931,0.009293556213378906,-0.9830456972122192,-0.981227445392477,256,160,10,False,base,0.0,7.238287015318666e-05,0.001818251819742267
0,base,3,__all__,0.6500586867332458,0.6527330971146935,0.002674410381447667,0.625,0.425,0.375,0.625,-0.6715990900993347,-0.6705862215061567,0.68389892578125,-0.9727055430412292,-0.9697512421367153,256,160,40,False,base,-0.04999999999999999,0.0010128685931780623,0.0029543009045139845
0,base,3,atomic_number,0.7907248735427856,0.7941887758000835,0.0034639022572978684,0.625,0.5,0.3,0.6,-0.39163750410079956,-0.3914899379983122,0.3971866965293884,-0.9727055430412292,-0.9697512421367153,256,160,10,False,base,-0.2,0.0001475661024873398,0.0029543009045139845
0,base,3,birthplace,0.2907576560974121,0.2950513380343518,0.004293681936939686,0.625,0.1,0.1,1.0,-1.0684514045715332,-1.0651434982591677,1.0969878435134888,-0.9727055430412292,-0.9697512421367153,256,160,10,False,base,0.0,0.0033079063123655494,0.0029543009045139845
0,base,3,capital,0.9824939966201782,0.984234718063259,0.001740721443080795,0.625,0.5,0.5,0.5,-1.2048819065093994,-1.2044850868136272,1.2207963466644287,-0.9727055430412292,-0.9697512421367153,256,160,10,False,base,0.0,0.0003968196957722103,0.0029543009045139845
